                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.4186,                 5.3107,                 1.5699,                      0,                      0,                      0,                      0,                 3.4643,                 5.2016,                 1.7136,                 0.0973,                 0.0003,                 0.0003
                      1,                 3.2275,                 5.3128,                  1.592,                      0,                      0,                      0,                      0,                 3.2107,                  5.194,                 1.5785,               0.093698,             0.00069769,             0.00069769
                      2,                 3.0804,                 5.3011,                 1.3807,                      0,                      0,                      0,                      0,                 2.5616,                 5.0858,                 1.2317,               0.090093,              0.0010927,              0.0010927
                      3,                 2.3764,                 5.0164,                 1.2083,                      0,                      0,                      0,                      0,                 2.2216,                 5.0008,                 1.0986,               0.086485,              0.0014851,              0.0014851
                      4,                 2.3239,                 4.8779,                 1.1229,                      0,                      0,                      0,                      0,                 2.1687,                 4.9724,                 1.0807,               0.082875,              0.0018749,              0.0018749
                      5,                 2.1965,                 4.7405,                 1.0908,                      0,                      0,                      0,                      0,                 2.0873,                 4.9448,                 1.0564,               0.079262,              0.0022621,              0.0022621
                      6,                 2.1398,                 4.6269,                 1.0721,                      0,                      0,                      0,                      0,                 1.9234,                 4.8823,                 1.0152,               0.075647,              0.0026465,              0.0026465
                      7,                 2.2284,                 4.4891,                 1.0479,                      0,                      0,                      0,                      0,                 1.9737,                 4.8046,                 1.0191,               0.072028,              0.0030284,              0.0030284
                      8,                  2.305,                 4.3416,                 1.0652,                      0,                      0,                      0,                      0,                 1.9447,                 4.7273,                 1.0232,               0.068408,              0.0034076,              0.0034076
                      9,                 2.1595,                 4.0876,                 1.0303,                0.02094,                0.00326,                0.01091,                0.00443,                 1.9961,                 4.5989,                 1.0376,               0.064784,              0.0037842,              0.0037842
                     10,                  2.195,                 3.9674,                 1.0483,                0.04689,                0.06945,                0.03596,                0.01525,                 2.0315,                 4.4167,                 1.0639,               0.061158,              0.0041581,              0.0041581
                     11,                 2.1475,                 3.7345,                 1.0485,                0.03246,                0.18644,                0.03795,                0.01583,                 2.1041,                 4.1243,                 1.0949,               0.057529,              0.0045294,              0.0045294
                     12,                 2.1709,                 3.5351,                 1.0567,                0.03441,                0.27754,                0.04604,                0.01985,                 2.0084,                 3.9108,                 1.0686,               0.053898,               0.004898,               0.004898
                     13,                 2.1327,                 3.3797,                 1.0606,                0.04211,                 0.3047,                0.05572,                0.02542,                 1.9517,                  3.835,                 1.0575,               0.050264,               0.005264,               0.005264
                     14,                 2.2527,                 3.2907,                 1.0889,                0.03306,                0.40064,                0.05781,                0.02379,                 2.0577,                 3.5285,                 1.0884,               0.046627,              0.0056274,              0.0056274
                     15,                 2.1661,                 3.1325,                 1.0892,                0.03326,                0.42709,                0.05607,                0.02359,                 2.0572,                 3.3571,                 1.0989,               0.042988,              0.0059881,              0.0059881
                     16,                 2.1265,                 3.0288,                  1.091,                0.03281,                0.43376,                 0.0602,                0.02657,                 1.9628,                 3.3013,                 1.0741,               0.039346,              0.0063462,              0.0063462
                     17,                 2.4094,                 3.1432,                 1.1064,                0.03215,                0.44077,                0.05857,                0.02391,                 2.1218,                 3.1256,                 1.1285,               0.035702,              0.0067017,              0.0067017
                     18,                 2.2065,                 2.9496,                 1.0928,                0.03187,                0.42367,                0.05663,                0.01871,                  2.159,                 3.1384,                 1.1349,               0.032054,              0.0070545,              0.0070545
                     19,                 2.2263,                 2.9175,                 1.1167,                0.03323,                0.44604,                0.05823,                0.02159,                 2.1664,                 3.1341,                 1.1394,               0.028405,              0.0074047,              0.0074047
                     20,                 2.1567,                 2.8885,                 1.0649,                0.03709,                 0.5023,                0.07823,                0.02875,                  2.146,                  3.145,                 1.1138,               0.024752,              0.0077522,              0.0077522
                     21,                 2.3317,                 2.8013,                 1.1165,                0.03881,                 0.5396,                0.09972,                0.03839,                 2.0177,                 2.9861,                 1.0854,               0.021097,              0.0080971,              0.0080971
                     22,                  2.211,                 2.7198,                  1.109,                0.03515,                0.48888,                0.08361,                0.02855,                 2.2229,                 3.0578,                  1.127,               0.017439,              0.0084393,              0.0084393
                     23,                 2.2832,                 2.7045,                 1.1096,                0.03871,                0.54104,                0.11335,                0.04452,                 2.0267,                 2.8798,                 1.0869,               0.013779,               0.008779,               0.008779
                     24,                 2.3352,                 2.6754,                 1.0702,                0.04161,                0.42862,                0.09589,                0.03023,                  2.347,                 3.0219,                 1.1786,               0.010116,              0.0091159,              0.0091159
                     25,                 2.3289,                 2.6879,                 1.1126,                0.04118,                0.57569,                0.12641,                0.05149,                  2.014,                 2.8412,                 1.0977,               0.009175,               0.009175,               0.009175
                     26,                 2.2363,                 2.5846,                 1.0807,                0.03678,                 0.4745,                0.10724,                0.04037,                 2.2431,                 2.9178,                 1.1091,               0.009175,               0.009175,               0.009175
                     27,                 2.2302,                 2.6188,                  1.105,                0.04391,                 0.5983,                0.13149,                0.05718,                 1.9744,                 2.8222,                   1.08,               0.009142,               0.009142,               0.009142
                     28,                 2.1444,                 2.5375,                 1.0749,                0.09969,                 0.5976,                0.12858,                0.04852,                 1.9817,                   2.94,                 1.0765,               0.009109,               0.009109,               0.009109
                     29,                 2.0262,                 2.6322,                 1.0361,                0.32026,                0.28718,                 0.1524,                0.06854,                 1.8736,                 2.6681,                 1.0496,               0.009076,               0.009076,               0.009076
                     30,                 1.9504,                 2.4978,                 1.0638,                0.31689,                0.19573,                0.15884,                0.06094,                 2.1356,                 2.4529,                 1.0973,               0.009043,               0.009043,               0.009043
                     31,                 2.2364,                 2.4958,                 1.1285,                0.36282,                0.20707,                0.17069,                0.07425,                 1.9239,                  2.579,                 1.0459,                0.00901,                0.00901,                0.00901
                     32,                 2.1752,                 2.3936,                 1.0536,                0.37676,                0.17527,                0.17855,                0.06896,                 2.0866,                 2.4594,                 1.0898,               0.008977,               0.008977,               0.008977
                     33,                 2.1626,                 2.4138,                 1.0491,                0.36031,                0.17883,                 0.1924,                0.08052,                 1.9076,                 2.4867,                 1.0428,               0.008944,               0.008944,               0.008944
                     34,                 2.0522,                 2.3711,                 1.0806,                0.49659,                0.12975,                0.19666,                0.07865,                 2.0592,                 2.5872,                 1.0714,               0.008911,               0.008911,               0.008911
                     35,                 2.1783,                 2.3638,                 1.0862,                0.29091,                0.24757,                 0.2019,                0.08236,                 1.9647,                 2.3869,                 1.0684,               0.008878,               0.008878,               0.008878
                     36,                  2.047,                 2.4084,                 1.0938,                0.52845,                0.17517,                0.24404,                0.11041,                 1.9063,                 2.4533,                 1.0464,               0.008845,               0.008845,               0.008845
                     37,                 2.1157,                 2.3507,                 1.0337,                0.34463,                0.23644,                0.23237,                 0.0962,                 1.9789,                 2.4054,                 1.0753,               0.008812,               0.008812,               0.008812
                     38,                 1.9952,                 2.2604,                 1.0256,                0.36966,                0.29785,                 0.2891,                0.13247,                 1.8795,                 2.1802,                 1.0521,               0.008779,               0.008779,               0.008779
                     39,                 2.0553,                 2.2097,                 1.0641,                0.55425,                 0.1953,                0.28182,                0.11939,                 1.9591,                 2.3576,                 1.0653,               0.008746,               0.008746,               0.008746
                     40,                 2.0387,                 2.1972,                 1.0505,                0.45264,                0.32731,                0.32662,                0.14993,                 1.8519,                 2.0686,                 1.0457,               0.008713,               0.008713,               0.008713
                     41,                 1.9883,                 2.1212,                 1.0829,                0.48147,                0.28178,                0.33962,                0.13929,                 1.9452,                 2.1551,                 1.0649,                0.00868,                0.00868,                0.00868
                     42,                 1.9882,                 2.0492,                 1.0778,                0.49832,                0.32311,                0.34096,                0.15903,                  1.844,                  2.056,                 1.0461,               0.008647,               0.008647,               0.008647
                     43,                 2.0214,                 2.1124,                 1.0471,                0.40027,                0.34559,                0.33898,                0.13139,                  1.979,                 2.0822,                   1.06,               0.008614,               0.008614,               0.008614
                     44,                 2.0396,                 2.1501,                 1.0642,                0.49187,                0.27756,                0.35863,                0.16944,                  1.816,                   2.14,                 1.0277,               0.008581,               0.008581,               0.008581
                     45,                 2.0145,                 2.0735,                 1.0404,                0.43427,                0.39811,                0.37219,                  0.153,                 1.9727,                  1.938,                 1.0655,               0.008548,               0.008548,               0.008548
                     46,                  2.037,                 2.0398,                 1.0686,                0.41377,                0.39481,                0.39438,                0.18541,                 1.8289,                 1.8457,                 1.0351,               0.008515,               0.008515,               0.008515
                     47,                 1.9711,                 1.9718,                 1.0445,                0.41532,                0.45434,                0.39497,                 0.1627,                 1.9299,                  1.824,                 1.0775,               0.008482,               0.008482,               0.008482
                     48,                 2.0346,                 2.0043,                 1.0688,                0.44262,                 0.4548,                0.42265,                0.19033,                 1.8131,                 1.8086,                 1.0311,               0.008449,               0.008449,               0.008449
                     49,                 1.8724,                  1.926,                 1.0443,                0.51905,                 0.3371,                0.41508,                0.18052,                 1.8464,                 2.0486,                 1.0487,               0.008416,               0.008416,               0.008416
                     50,                 1.9097,                 2.0442,                 1.0375,                 0.4642,                0.46252,                0.44239,                0.20989,                 1.7859,                 1.6594,                  1.036,               0.008383,               0.008383,               0.008383
                     51,                 1.9145,                  1.936,                 1.0312,                0.52045,                0.41996,                0.43243,                0.19018,                 1.8443,                 1.9197,                  1.035,                0.00835,                0.00835,                0.00835
                     52,                 1.8658,                 1.9182,                 1.0556,                 0.4734,                0.46579,                0.43716,                0.20078,                 1.8062,                 1.7058,                 1.0375,               0.008317,               0.008317,               0.008317
                     53,                 1.9989,                 1.9102,                0.99421,                0.44387,                0.45772,                0.39982,                 0.1778,                 1.8813,                 1.7778,                  1.067,               0.008284,               0.008284,               0.008284
                     54,                 1.9744,                 1.9119,                 1.0846,                0.47688,                0.50784,                0.48343,                0.22388,                 1.7918,                 1.6742,                 1.0347,               0.008251,               0.008251,               0.008251
                     55,                 1.9307,                 1.8206,                 1.0282,                  0.487,                0.45843,                 0.4512,                0.20119,                 1.8881,                 1.6392,                 1.0598,               0.008218,               0.008218,               0.008218
                     56,                 2.0604,                 1.9069,                  1.022,                0.50326,                0.50276,                0.47795,                 0.2163,                 1.8261,                 1.7321,                 1.0386,               0.008185,               0.008185,               0.008185
